AWB Number,Order ID,SKU No,Order Qty,WeightPerQty,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,CourierRatePer0.5KG,Billing_Amount
1091117221940.00,2001806210.00,8904223818874.00,1,100,0.1,0.5,2.92,3,b,b,33,174.5
1091117222931.00,2001806408.00,8904223818874.00,1,100,0.1,0.5,2.5,2.5,d,d,45.4,224.6
1091117437293.00,2001808739.00,8904223818874.00,1,100,0.1,0.5,1.63,2,d,d,45.4,179.8
1091117795623.00,2001809820.00,8904223818874.00,1,100,0.1,0.5,3,3,d,d,45.4,269.4
1091117957780.00,2001811192.00,8904223818874.00,1,100,0.1,0.5,1.13,1.49,d,d,44.8,258.9
1091117957942.00,2001811229.00,8904223818874.00,1,100,0.1,0.5,0.6,1,d,d,45.4,90.2
1091118553701.00,2001813009.00,8904223818874.00,1,100,0.1,0.5,1,1,d,d,45.4,90.2
1091119169701.00,2001815688.00,8904223818874.00,1,100,0.1,0.5,0.2,0.5,d,d,45.4,45.4
1091119398844.00,2001816684.00,8904223818874.00,2,100,0.2,0.5,0.99,1,d,d,44.8,172.8
1091121485824.00,2001817093.00,8904223818874.00,1,100,0.1,0.5,1.3,1.49,b,b,28.3,151.1
1091117324346.00,2001807328.00,8904223818997.00,1,490,0.49,1,2.28,3,d,d,45.4,224.6
1091117222080.00,2001806229.00,8904223818942.00,1,133,0.133,0.5,0.71,1,d,d,45.4,90.2
1091117222194.00,2001806273.00,8904223818942.00,1,133,0.133,0.5,1,1,d,d,45.4,90.2
1091117222360.00,2001806304.00,8904223818942.00,1,133,0.133,0.5,0.71,1,d,d,45.4,90.2
1091117222570.00,2001806338.00,8904223818942.00,1,133,0.133,0.5,0.7,1,d,d,45.4,90.2
1091117223211.00,2001806446.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117223351.00,2001806471.00,8904223818942.00,1,133,0.133,0.5,1.7,2,d,d,45.4,179.8
1091117223351.00,2001806471.00,8904223818942.00,2,133,0.266,0.5,1.7,2,d,d,45.4,179.8
1091117224353.00,2001806533.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117225016.00,2001806575.00,8904223818942.00,1,133,0.133,0.5,0.68,1,b,b,33,61.3
1091117226221.00,2001806652.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117226910.00,2001806726.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117226711.00,2001806735.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117228192.00,2001806828.00,8904223818942.00,1,133,0.133,0.5,0.69,1,d,d,45.4,90.2
1091117229183.00,2001806968.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117229290.00,2001807004.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117323215.00,2001807084.00,8904223818942.00,1,133,0.133,0.5,0.67,1,d,d,45.4,90.2
1091117323812.00,2001807186.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091117324206.00,2001807290.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091117333100.00,2001807329.00,8904223818942.00,1,133,0.133,0.5,0.73,1,d,d,45.4,90.2
1091117326424.00,2001807785.00,8904223818942.00,1,133,0.133,0.5,0.68,1,d,d,45.4,90.2
1091117326925.00,2001807852.00,8904223818942.00,1,133,0.133,0.5,0.74,1,d,d,45.4,90.2
1091117327275.00,2001807956.00,8904223818942.00,1,133,0.133,0.5,1.08,1.49,b,b,33,89.6
1091117327570.00,2001807981.00,8904223818942.00,1,133,0.133,0.5,0.5,1,d,d,45.4,45.4
1091117436346.00,2001808475.00,8904223818942.00,1,133,0.133,0.5,0.7,1,d,d,45.4,90.2
1091117436652.00,2001808585.00,8904223818942.00,1,133,0.133,0.5,0.72,1,b,b,33,61.3
